date,product,category,region,sales,units_sold,profit,customer_age,customer_gender
2024-01-01,Laptop,Electronics,North,85000,17,25500,32,Male
2024-01-02,Phone,Electronics,South,45000,30,13500,25,Female
2024-01-03,Chair,Furniture,East,12000,20,3600,45,Male
2024-01-04,Desk,Furniture,West,18000,12,5400,38,Female
2024-01-05,Laptop,Electronics,North,92000,18,27600,29,Male
2024-01-06,Headphones,Electronics,South,8000,40,2400,22,Female
2024-01-07,Table,Furniture,East,15000,10,4500,55,Male
2024-01-08,Phone,Electronics,West,52000,35,15600,31,Female
2024-01-09,Laptop,Electronics,North,78000,15,23400,42,Male
2024-01-10,Chair,Furniture,South,9500,16,2850,28,Female
2024-02-01,Laptop,Electronics,North,95000,19,28500,35,Male
2024-02-02,Phone,Electronics,South,61000,41,18300,27,Female
2024-02-03,Desk,Furniture,East,22000,15,6600,48,Male
2024-02-04,Headphones,Electronics,West,11000,55,3300,23,Female
2024-02-05,Laptop,Electronics,North,88000,17,26400,33,Male
2024-02-06,Table,Furniture,South,17000,11,5100,51,Male
2024-02-07,Phone,Electronics,East,57000,38,17100,26,Female
2024-02-08,Chair,Furniture,West,13500,22,4050,44,Female
2024-02-09,Laptop,Electronics,North,102000,21,30600,39,Male
2024-02-10,Headphones,Electronics,South,9500,47,2850,20,Male
2024-03-01,Laptop,Electronics,North,110000,22,33000,36,Male
2024-03-02,Phone,Electronics,South,68000,45,20400,29,Female
2024-03-03,Desk,Furniture,East,25000,17,7500,50,Male
2024-03-04,Chair,Furniture,West,16000,27,4800,41,Female
2024-03-05,Laptop,Electronics,North,98000,20,29400,34,Male
2024-03-06,Headphones,Electronics,South,13000,65,3900,24,Female
2024-03-07,Table,Furniture,East,19000,13,5700,56,Male
2024-03-08,Phone,Electronics,West,72000,48,21600,28,Female
2024-03-09,Laptop,Electronics,North,115000,23,34500,43,Male
2024-03-10,Chair,Furniture,South,11000,18,3300,30,Female
